experiment,folder,r_z,score
cases/multipleClusterSpikes/experiments/experiment0,cases/multipleClusterSpikes/experiments/experiment0/run1,1e-06,0.0
cases/multipleClusterSpikes/experiments/experiment4,cases/multipleClusterSpikes/experiments/experiment4/run5,0.01,0.0
cases/multipleClusterSpikes/experiments/experiment4,cases/multipleClusterSpikes/experiments/experiment4/run4,0.01,0.0
cases/multipleClusterSpikes/experiments/experiment4,cases/multipleClusterSpikes/experiments/experiment4/run2,0.01,0.0
cases/multipleClusterSpikes/experiments/experiment4,cases/multipleClusterSpikes/experiments/experiment4/run1,0.01,0.0
cases/multipleClusterSpikes/experiments/experiment3,cases/multipleClusterSpikes/experiments/experiment3/run5,0.001,0.0
cases/multipleClusterSpikes/experiments/experiment3,cases/multipleClusterSpikes/experiments/experiment3/run4,0.001,0.0
cases/multipleClusterSpikes/experiments/experiment3,cases/multipleClusterSpikes/experiments/experiment3/run3,0.001,0.0
cases/multipleClusterSpikes/experiments/experiment3,cases/multipleClusterSpikes/experiments/experiment3/run2,0.001,0.0
cases/multipleClusterSpikes/experiments/experiment3,cases/multipleClusterSpikes/experiments/experiment3/run1,0.001,0.0
cases/multipleClusterSpikes/experiments/experiment2,cases/multipleClusterSpikes/experiments/experiment2/run5,0.0001,0.0
cases/multipleClusterSpikes/experiments/experiment2,cases/multipleClusterSpikes/experiments/experiment2/run4,0.0001,0.0
cases/multipleClusterSpikes/experiments/experiment2,cases/multipleClusterSpikes/experiments/experiment2/run3,0.0001,0.0
cases/multipleClusterSpikes/experiments/experiment2,cases/multipleClusterSpikes/experiments/experiment2/run2,0.0001,0.0
cases/multipleClusterSpikes/experiments/experiment2,cases/multipleClusterSpikes/experiments/experiment2/run1,0.0001,0.0
cases/multipleClusterSpikes/experiments/experiment4,cases/multipleClusterSpikes/experiments/experiment4/run3,0.01,0.0
cases/multipleClusterSpikes/experiments/experiment1,cases/multipleClusterSpikes/experiments/experiment1/run5,1e-05,0.0
cases/multipleClusterSpikes/experiments/experiment1,cases/multipleClusterSpikes/experiments/experiment1/run4,1e-05,0.0
cases/multipleClusterSpikes/experiments/experiment1,cases/multipleClusterSpikes/experiments/experiment1/run3,1e-05,0.0
cases/multipleClusterSpikes/experiments/experiment1,cases/multipleClusterSpikes/experiments/experiment1/run2,1e-05,0.0
cases/multipleClusterSpikes/experiments/experiment1,cases/multipleClusterSpikes/experiments/experiment1/run1,1e-05,0.0
cases/multipleClusterSpikes/experiments/experiment0,cases/multipleClusterSpikes/experiments/experiment0/run5,1e-06,0.0
cases/multipleClusterSpikes/experiments/experiment0,cases/multipleClusterSpikes/experiments/experiment0/run4,1e-06,0.0
cases/multipleClusterSpikes/experiments/experiment0,cases/multipleClusterSpikes/experiments/experiment0/run3,1e-06,0.0
cases/multipleClusterSpikes/experiments/experiment0,cases/multipleClusterSpikes/experiments/experiment0/run2,1e-06,0.0
cases/multipleClusterSpikes/experiments/experiment5,cases/multipleClusterSpikes/experiments/experiment5/run1,0.1,0.002000000000000668
cases/multipleClusterSpikes/experiments/experiment5,cases/multipleClusterSpikes/experiments/experiment5/run5,0.1,0.002000000000000668
cases/multipleClusterSpikes/experiments/experiment5,cases/multipleClusterSpikes/experiments/experiment5/run4,0.1,0.002000000000000668
cases/multipleClusterSpikes/experiments/experiment5,cases/multipleClusterSpikes/experiments/experiment5/run3,0.1,0.002000000000000668
cases/multipleClusterSpikes/experiments/experiment5,cases/multipleClusterSpikes/experiments/experiment5/run2,0.1,0.002000000000000668
cases/multipleClusterSpikes/experiments/experiment6,cases/multipleClusterSpikes/experiments/experiment6/run4,1.0,0.16700000000000004
cases/multipleClusterSpikes/experiments/experiment6,cases/multipleClusterSpikes/experiments/experiment6/run1,1.0,0.16700000000000004
