,,score,score,score
,,mean,min,max
experiment,r_z,,,
cases/spikeEvenDifferentVariance/experiments/experiment5,0.1,0.5139999999999997,0.25700000000000056,0.7299999999999995
cases/spikeEvenDifferentVariance/experiments/experiment4,0.01,0.514,0.09999999999999963,1.4260000000000002
cases/spikeEvenDifferentVariance/experiments/experiment2,0.0001,0.5649999999999997,0.10799999999999964,1.6969999999999996
cases/spikeEvenDifferentVariance/experiments/experiment3,0.001,0.9069999999999995,0.1039999999999992,2.5250000000000004
cases/spikeEvenDifferentVariance/experiments/experiment1,1e-05,0.9724000000000002,0.17300000000000004,1.4289999999999994
cases/spikeEvenDifferentVariance/experiments/experiment0,1e-06,1.0457999999999994,0.2809999999999997,2.5780000000000003
cases/spikeEvenDifferentVariance/experiments/experiment6,1.0,1.0877999999999999,0.4249999999999989,1.7720000000000002
cases/spikeEvenDifferentVariance/experiments/experiment9,1000.0,2.6172,1.7800000000000002,3.269
cases/spikeEvenDifferentVariance/experiments/experiment7,10.0,2.6208,2.29,3.463
cases/spikeEvenDifferentVariance/experiments/experiment10,10000.0,2.7098000000000004,2.252,3.2840000000000003
cases/spikeEvenDifferentVariance/experiments/experiment8,100.0,2.8506,2.2700000000000005,3.5620000000000003
