experiment,folder,r_z,score
cases/multidimensional/experiments/experiment6,cases/multidimensional/experiments/experiment6/run2,1.0,2.657
cases/multidimensional/experiments/experiment1,cases/multidimensional/experiments/experiment1/run5,1e-05,2.6910000000000003
cases/multidimensional/experiments/experiment3,cases/multidimensional/experiments/experiment3/run2,0.001,2.6959999999999997
cases/multidimensional/experiments/experiment5,cases/multidimensional/experiments/experiment5/run1,0.1,2.6969999999999996
cases/multidimensional/experiments/experiment1,cases/multidimensional/experiments/experiment1/run4,1e-05,2.697
cases/multidimensional/experiments/experiment2,cases/multidimensional/experiments/experiment2/run4,0.0001,2.697
cases/multidimensional/experiments/experiment0,cases/multidimensional/experiments/experiment0/run5,1e-06,2.697
cases/multidimensional/experiments/experiment5,cases/multidimensional/experiments/experiment5/run2,0.1,2.698
cases/multidimensional/experiments/experiment3,cases/multidimensional/experiments/experiment3/run1,0.001,2.6989999999999994
cases/multidimensional/experiments/experiment4,cases/multidimensional/experiments/experiment4/run2,0.01,2.699
cases/multidimensional/experiments/experiment3,cases/multidimensional/experiments/experiment3/run3,0.001,2.6990000000000003
cases/multidimensional/experiments/experiment0,cases/multidimensional/experiments/experiment0/run1,1e-06,2.6999999999999993
cases/multidimensional/experiments/experiment1,cases/multidimensional/experiments/experiment1/run3,1e-05,2.6999999999999997
cases/multidimensional/experiments/experiment2,cases/multidimensional/experiments/experiment2/run5,0.0001,2.7009999999999996
cases/multidimensional/experiments/experiment0,cases/multidimensional/experiments/experiment0/run2,1e-06,2.7009999999999996
cases/multidimensional/experiments/experiment5,cases/multidimensional/experiments/experiment5/run5,0.1,2.7009999999999996
cases/multidimensional/experiments/experiment0,cases/multidimensional/experiments/experiment0/run3,1e-06,2.7019999999999995
cases/multidimensional/experiments/experiment5,cases/multidimensional/experiments/experiment5/run4,0.1,2.702
cases/multidimensional/experiments/experiment4,cases/multidimensional/experiments/experiment4/run4,0.01,2.7040000000000006
cases/multidimensional/experiments/experiment4,cases/multidimensional/experiments/experiment4/run3,0.01,2.7060000000000004
cases/multidimensional/experiments/experiment2,cases/multidimensional/experiments/experiment2/run1,0.0001,2.7060000000000004
cases/multidimensional/experiments/experiment3,cases/multidimensional/experiments/experiment3/run4,0.001,2.707
cases/multidimensional/experiments/experiment7,cases/multidimensional/experiments/experiment7/run4,10.0,2.7070000000000007
cases/multidimensional/experiments/experiment7,cases/multidimensional/experiments/experiment7/run3,10.0,2.7070000000000007
cases/multidimensional/experiments/experiment1,cases/multidimensional/experiments/experiment1/run2,1e-05,2.708
cases/multidimensional/experiments/experiment9,cases/multidimensional/experiments/experiment9/run5,1000.0,2.71
cases/multidimensional/experiments/experiment8,cases/multidimensional/experiments/experiment8/run2,100.0,2.71
cases/multidimensional/experiments/experiment8,cases/multidimensional/experiments/experiment8/run1,100.0,2.71
cases/multidimensional/experiments/experiment8,cases/multidimensional/experiments/experiment8/run5,100.0,2.71
cases/multidimensional/experiments/experiment9,cases/multidimensional/experiments/experiment9/run1,1000.0,2.71
cases/multidimensional/experiments/experiment9,cases/multidimensional/experiments/experiment9/run2,1000.0,2.71
cases/multidimensional/experiments/experiment8,cases/multidimensional/experiments/experiment8/run3,100.0,2.71
cases/multidimensional/experiments/experiment8,cases/multidimensional/experiments/experiment8/run4,100.0,2.71
cases/multidimensional/experiments/experiment10,cases/multidimensional/experiments/experiment10/run1,10000.0,2.71
cases/multidimensional/experiments/experiment10,cases/multidimensional/experiments/experiment10/run2,10000.0,2.71
cases/multidimensional/experiments/experiment10,cases/multidimensional/experiments/experiment10/run3,10000.0,2.71
cases/multidimensional/experiments/experiment9,cases/multidimensional/experiments/experiment9/run4,1000.0,2.71
cases/multidimensional/experiments/experiment10,cases/multidimensional/experiments/experiment10/run4,10000.0,2.71
cases/multidimensional/experiments/experiment4,cases/multidimensional/experiments/experiment4/run1,0.01,2.71
cases/multidimensional/experiments/experiment3,cases/multidimensional/experiments/experiment3/run5,0.001,2.71
cases/multidimensional/experiments/experiment10,cases/multidimensional/experiments/experiment10/run5,10000.0,2.71
cases/multidimensional/experiments/experiment9,cases/multidimensional/experiments/experiment9/run3,1000.0,2.71
cases/multidimensional/experiments/experiment4,cases/multidimensional/experiments/experiment4/run5,0.01,2.7109999999999994
cases/multidimensional/experiments/experiment7,cases/multidimensional/experiments/experiment7/run1,10.0,2.7110000000000003
cases/multidimensional/experiments/experiment0,cases/multidimensional/experiments/experiment0/run4,1e-06,2.7119999999999997
cases/multidimensional/experiments/experiment7,cases/multidimensional/experiments/experiment7/run2,10.0,2.7119999999999997
cases/multidimensional/experiments/experiment7,cases/multidimensional/experiments/experiment7/run5,10.0,2.7119999999999997
cases/multidimensional/experiments/experiment2,cases/multidimensional/experiments/experiment2/run3,0.0001,2.714
cases/multidimensional/experiments/experiment1,cases/multidimensional/experiments/experiment1/run1,1e-05,2.714
cases/multidimensional/experiments/experiment2,cases/multidimensional/experiments/experiment2/run2,0.0001,2.718
cases/multidimensional/experiments/experiment5,cases/multidimensional/experiments/experiment5/run3,0.1,2.718
cases/multidimensional/experiments/experiment6,cases/multidimensional/experiments/experiment6/run4,1.0,2.7599999999999993
cases/multidimensional/experiments/experiment6,cases/multidimensional/experiments/experiment6/run3,1.0,2.7599999999999993
cases/multidimensional/experiments/experiment6,cases/multidimensional/experiments/experiment6/run5,1.0,2.7609999999999997
cases/multidimensional/experiments/experiment6,cases/multidimensional/experiments/experiment6/run1,1.0,2.761
