,,score,score,score
,,mean,min,max
experiment,r_z,,,
cases/multidimensional/experiments/experiment1,1e-05,2.7020000000000004,2.6910000000000003,2.714
cases/multidimensional/experiments/experiment3,0.001,2.7022,2.696,2.71
cases/multidimensional/experiments/experiment0,1e-06,2.7024,2.697,2.712
cases/multidimensional/experiments/experiment5,0.1,2.7032,2.697,2.718
cases/multidimensional/experiments/experiment4,0.01,2.7060000000000004,2.699,2.7109999999999994
cases/multidimensional/experiments/experiment2,0.0001,2.7072,2.697,2.718
cases/multidimensional/experiments/experiment7,10.0,2.7098000000000004,2.7070000000000007,2.712
cases/multidimensional/experiments/experiment10,10000.0,2.71,2.71,2.71
cases/multidimensional/experiments/experiment8,100.0,2.71,2.71,2.71
cases/multidimensional/experiments/experiment9,1000.0,2.71,2.71,2.71
cases/multidimensional/experiments/experiment6,1.0,2.7398,2.657,2.761
